FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
25,2016-09-01,Falcon 9,5000.0,LEO,Unknown,None None,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-034,,
26,2017-01-14,Falcon 9,5000.0,LEO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,1,0,CORE-035,-80.62,28.61
27,2017-02-19,Falcon 9,5000.0,LEO,CCAFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1,0,CORE-036,-80.58,28.56
28,2017-03-16,Falcon 9,5000.0,LEO,CCAFS SLC 40,None None,1,False,False,False,,1,0,CORE-037,-80.58,28.56
29,2017-03-30,Falcon 9,5000.0,LEO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-038,-80.58,28.56
30,2017-05-01,Falcon 9,5000.0,LEO,CCAFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1,0,CORE-039,-80.58,28.56
31,2017-05-15,Falcon 9,5000.0,LEO,CCAFS SLC 40,None None,1,False,False,False,,1,0,CORE-040,-80.58,28.56
32,2017-06-03,Falcon 9,5000.0,LEO,CCAFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1,0,CORE-041,-80.58,28.56
33,2017-06-23,Falcon 9,5000.0,LEO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-042,-80.58,28.56
34,2017-06-25,Falcon 9,5000.0,LEO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,1,0,CORE-043,-80.62,28.61
35,2017-07-05,Falcon 9,5000.0,LEO,CCAFS SLC 40,None None,1,False,False,False,,1,0,CORE-044,-80.58,28.56
36,2017-08-14,Falcon 9,5000.0,LEO,CCAFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1,0,CORE-045,-80.58,28.56
37,2017-08-24,Falcon 9,5000.0,LEO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,1,0,CORE-046,-80.62,28.61
38,2017-09-07,Falcon 9,5000.0,LEO,CCAFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1,0,CORE-047,-80.58,28.56
39,2017-10-09,Falcon 9,5000.0,LEO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,1,0,CORE-048,-80.62,28.61
40,2017-10-11,Falcon 9,5000.0,LEO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-049,-80.58,28.56
41,2017-10-30,Falcon 9,5000.0,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-050,-80.58,28.56
42,2017-12-15,Falcon 9,5000.0,LEO,Unknown,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,1,0,CORE-051,,
43,2017-12-23,Falcon 9,5000.0,LEO,KSC LC 39A,True Ocean,2,True,True,False,,1,0,CORE-052,-80.62,28.61
44,2018-01-08,Falcon 9,5000.0,LEO,Unknown,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1,0,CORE-053,,
45,2018-01-31,Falcon 9,5000.0,LEO,Unknown,True Ocean,2,True,True,True,,1,0,CORE-054,,
46,2018-03-06,Falcon 9,5000.0,LEO,Unknown,None None,1,True,False,True,,1,0,CORE-057,,
47,2018-03-30,Falcon 9,5000.0,LEO,KSC LC 39A,None None,2,True,True,True,,1,0,CORE-058,-80.62,28.61
48,2018-04-02,Falcon 9,5000.0,LEO,Unknown,None None,2,True,True,True,,1,0,CORE-059,,
49,2018-04-18,Falcon 9,5000.0,LEO,Unknown,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-060,,
50,2018-05-11,Falcon 9,5000.0,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-061,-80.58,28.56
51,2018-06-04,Falcon 9,5000.0,LEO,Unknown,None None,2,False,True,False,,1,0,CORE-063,,
52,2018-06-29,Falcon 9,5000.0,LEO,Unknown,None None,2,False,True,False,,1,0,CORE-064,,
53,2018-07-22,Falcon 9,5000.0,LEO,Unknown,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-065,,
54,2018-07-25,Falcon 9,5000.0,LEO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,1,0,CORE-066,-80.62,28.61
55,2018-08-07,Falcon 9,5000.0,LEO,Unknown,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-067,,
56,2018-09-10,Falcon 9,5000.0,LEO,Unknown,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-068,,
57,2018-10-08,Falcon 9,5000.0,LEO,KSC LC 39A,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,1,0,CORE-069,-80.62,28.61
58,2018-11-15,Falcon 9,5000.0,LEO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-070,-80.58,28.56
59,2018-12-03,Falcon 9,5000.0,LEO,KSC LC 39A,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,1,0,CORE-071,-80.62,28.61
60,2018-12-05,Falcon 9,5000.0,LEO,Unknown,False RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1,0,CORE-072,,
61,2018-12-23,Falcon 9,5000.0,LEO,Unknown,None None,1,False,False,False,,1,0,CORE-073,,
62,2019-01-11,Falcon 9,5000.0,LEO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,1,0,CORE-074,-80.62,28.61
63,2019-03-02,Falcon 9,5000.0,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-076,-80.58,28.56
64,2019-05-04,Falcon 9,5000.0,LEO,Unknown,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-078,,
65,2019-05-24,Falcon 9,5000.0,LEO,Unknown,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-079,,
66,2019-06-12,Falcon 9,5000.0,LEO,KSC LC 39A,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,1,0,CORE-080,-80.62,28.61
67,2019-07-25,Falcon 9,5000.0,LEO,Unknown,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,1,0,CORE-082,,
68,2019-08-06,Falcon 9,5000.0,LEO,Unknown,None None,3,False,True,False,,1,0,CORE-083,,
69,2019-11-11,Falcon 9,5000.0,LEO,Unknown,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-084,,
70,2019-12-05,Falcon 9,5000.0,LEO,Unknown,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-085,,
71,2019-12-17,Falcon 9,5000.0,LEO,Unknown,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-086,,
72,2020-01-07,Falcon 9,5000.0,LEO,Unknown,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-087,,
73,2020-01-19,Falcon 9,5000.0,LEO,CCAFS SLC 40,None None,4,False,True,False,,1,0,CORE-088,-80.58,28.56
74,2020-01-29,Falcon 9,5000.0,LEO,Unknown,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-089,,
75,2020-02-17,Falcon 9,5000.0,LEO,Unknown,False ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-090,,
76,2020-03-07,Falcon 9,5000.0,LEO,Unknown,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,1,0,CORE-091,,
77,2020-03-18,Falcon 9,5000.0,LEO,CCAFS SLC 40,False ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-092,-80.58,28.56
78,2020-04-22,Falcon 9,5000.0,LEO,CCAFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-093,-80.58,28.56
79,2020-05-30,Falcon 9,5000.0,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-094,-80.58,28.56
80,2020-06-04,Falcon 9,5000.0,LEO,Unknown,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,1,0,CORE-095,,
81,2020-06-13,Falcon 9,5000.0,LEO,Unknown,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-096,,
82,2020-06-30,Falcon 9,5000.0,LEO,Unknown,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,1,0,CORE-097,,
83,2020-07-20,Falcon 9,5000.0,LEO,Unknown,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,1,0,CORE-098,,
84,2020-08-18,Falcon 9,5000.0,LEO,Unknown,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-100,,
85,2020-08-30,Falcon 9,5000.0,LEO,Unknown,True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,1,0,CORE-101,,
86,2020-09-03,Falcon 9,5000.0,LEO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-102,-80.58,28.56
87,2020-10-06,Falcon 9,5000.0,LEO,CCAFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-103,-80.58,28.56
88,2020-10-18,Falcon 9,5000.0,LEO,CCAFS SLC 40,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-104,-80.58,28.56
89,2020-10-24,Falcon 9,5000.0,LEO,Unknown,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,1,0,CORE-105,,
90,2020-11-05,Falcon 9,5000.0,LEO,Unknown,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,CORE-106,,
